,Month,Hour,Day Type,Daylight Savings Status,Indoor Temperature (C),Average Unmet Cooling Setpoint Difference (C),Indoor Relative Humidity (%),Equipment Electric Power (kWh),DHW Heating (kWh),Cooling Load (kWh),Solar Generation (W/kW),Heating Load (kWh),HVAC Mode (Off/Cooling/Heating),Temperature Set Point (C)
0,1,1,8,0,22.92,0.0,54.43,13.1,1.08,1.2,0.0,0,1,24.444444
1,1,2,8,0,22.71,0.0,51.86,5.4,3.12,0.0,0.0,0,1,24.444444
2,1,3,8,0,22.66,0.0,49.42,5.6,0.48,0.0,0.0,0,1,24.444444
3,1,4,8,0,22.67,0.0,47.54,7.0,1.68,0.01,0.0,0,1,24.444444
4,1,5,8,0,22.63,0.0,46.51,4.9,0.0,0.0,0.0,0,1,24.444444
5,1,6,8,0,22.62,0.0,46.1,5.0,1.92,0.0,0.0,0,1,24.444444
6,1,7,8,0,22.66,0.0,46.0,7.7,4.08,0.08,0.0,0,1,24.444444
7,1,8,8,0,22.69,0.0,46.15,9.1,17.76,0.19,0.0,0,1,24.444444
8,1,9,8,0,22.72,0.0,45.8,11.6,6.84,0.39,28.2155,0,1,24.444444
9,1,10,8,0,22.67,0.0,45.44,7.4,14.28,0.01,45.8566,0,1,24.444444
10,1,11,8,0,22.71,0.0,45.45,8.9,6.72,0.22,74.4313,0,1,24.444444
11,1,12,8,0,22.82,0.0,46.24,10.8,11.04,0.87,144.55,0,1,24.444444
12,1,13,8,0,22.86,0.0,48.09,7.9,2.28,0.79,148.719,0,1,24.444444
13,1,14,8,0,22.88,0.0,49.33,9.0,2.04,0.91,96.634,0,1,24.444444
14,1,15,8,0,22.9,0.0,49.87,10.6,0.48,1.15,53.573,0,1,24.444444
15,1,16,8,0,22.87,0.0,50.7,8.1,2.76,0.64,30.8986,0,1,24.444444
16,1,17,8,0,22.85,0.0,51.35,8.3,4.68,0.6,9.70243,0,1,24.444444
17,1,18,8,0,22.87,0.0,51.22,9.6,4.8,0.87,0.0,0,1,24.444444
18,1,19,8,0,22.88,0.0,51.27,8.9,6.84,0.88,0.0,0,1,24.444444
19,1,20,8,0,22.9,0.0,51.74,9.4,4.32,1.03,0.0,0,1,24.444444
20,1,21,8,0,22.9,0.0,52.47,8.7,1.08,0.95,0.0,0,1,24.444444
21,1,22,8,0,22.97,0.0,53.22,10.8,7.32,1.65,0.0,0,1,24.444444
22,1,23,8,0,22.97,0.0,54.22,10.1,3.12,1.41,0.0,0,1,24.444444
23,1,24,8,0,22.92,0.0,54.9,8.8,0.48,0.95,0.0,0,1,24.444444
24,1,1,5,0,22.95,0.0,55.41,10.2,0.84,1.37,0.0,0,1,24.444444
25,1,2,5,0,22.94,0.0,56.47,8.7,0.24,1.08,0.0,0,1,24.444444
26,1,3,5,0,22.95,0.0,57.01,10.1,0.36,1.42,0.0,0,1,24.444444
27,1,4,5,0,23.09,0.0,56.55,14.0,0.48,2.68,0.0,0,1,24.444444
28,1,5,5,0,23.0,0.0,56.89,10.0,0.48,1.42,0.0,0,1,24.444444
29,1,6,5,0,22.97,0.0,57.18,9.5,1.68,1.22,0.0,0,1,24.444444
30,1,7,5,0,23.0,0.0,57.28,11.4,6.0,1.84,0.0,0,1,24.444444
31,1,8,5,0,22.98,0.0,57.67,10.0,19.56,1.51,0.0,0,1,24.444444
32,1,9,5,0,22.99,0.0,57.28,11.2,4.32,1.59,45.0112,0,1,24.444444
33,1,10,5,0,22.99,0.0,56.04,10.7,6.0,1.56,113.45,0,1,24.444444
34,1,11,5,0,22.99,0.0,54.2,9.2,13.56,1.34,174.733,0,1,24.444444
35,1,12,5,0,23.01,0.0,51.85,9.2,2.76,1.4,233.711,0,1,24.444444
36,1,13,5,0,23.01,0.0,48.58,8.6,3.24,1.23,244.996,0,1,24.444444
37,1,14,5,0,23.07,0.0,44.67,9.8,1.08,1.56,232.412,0,1,24.444444
38,1,15,5,0,23.11,0.0,41.0,10.3,0.96,1.66,185.682,0,1,24.444444
39,1,16,5,0,23.03,0.0,38.54,9.2,3.96,0.83,116.802,0,1,24.444444
40,1,17,5,0,22.86,0.0,35.96,7.5,2.04,0.1,25.4838,0,1,24.444444
